LapNumber,Stint,Compound,TyreLife,Sector1Time,Sector2Time,Sector3Time,TrackStatus,IsAccurate,LapTimeSeconds,Driver
2.0,1.0,SOFT,2.0,0 days 00:00:24.310000,0 days 00:00:32.014000,0 days 00:00:23.891000,1,True,80.215,Lando Norris
3.0,1.0,SOFT,3.0,0 days 00:00:23.900000,0 days 00:00:32.182000,0 days 00:00:24.161000,1,True,80.243,Lando Norris
4.0,1.0,SOFT,4.0,0 days 00:00:24.100000,0 days 00:00:32.487000,0 days 00:00:24.115000,1,True,80.702,Lando Norris
5.0,1.0,SOFT,5.0,0 days 00:00:24.079000,0 days 00:00:32.638000,0 days 00:00:24.417000,1,True,81.134,Lando Norris
6.0,1.0,SOFT,6.0,0 days 00:00:23.922000,0 days 00:00:32.657000,0 days 00:00:24.477000,1,True,81.056,Lando Norris
7.0,1.0,SOFT,7.0,0 days 00:00:23.932000,0 days 00:00:32.784000,0 days 00:00:24.577000,1,True,81.293,Lando Norris
8.0,1.0,SOFT,8.0,0 days 00:00:24.019000,0 days 00:00:32.822000,0 days 00:00:24.602000,1,True,81.443,Lando Norris
9.0,1.0,SOFT,9.0,0 days 00:00:23.901000,0 days 00:00:32.724000,0 days 00:00:24.518000,1,True,81.143,Lando Norris
10.0,1.0,SOFT,10.0,0 days 00:00:23.826000,0 days 00:00:32.713000,0 days 00:00:24.684000,1,True,81.223,Lando Norris
11.0,1.0,SOFT,11.0,0 days 00:00:23.853000,0 days 00:00:32.836000,0 days 00:00:24.596000,1,True,81.285,Lando Norris
12.0,1.0,SOFT,12.0,0 days 00:00:23.749000,0 days 00:00:33.038000,0 days 00:00:24.567000,1,True,81.354,Lando Norris
13.0,1.0,SOFT,13.0,0 days 00:00:23.800000,0 days 00:00:33.061000,0 days 00:00:24.571000,1,True,81.432,Lando Norris
14.0,1.0,SOFT,14.0,0 days 00:00:24.066000,0 days 00:00:32.997000,0 days 00:00:24.597000,1,True,81.66,Lando Norris
15.0,1.0,SOFT,15.0,0 days 00:00:24.035000,0 days 00:00:33.019000,0 days 00:00:24.487000,1,True,81.541,Lando Norris
