LapNumber,Stint,Compound,TyreLife,LapTime,Sector1Time,Sector2Time,Sector3Time,TrackStatus,IsAccurate,LapTimeSeconds
2.0,1.0,SOFT,2.0,0 days 00:01:20.215000,0 days 00:00:24.310000,0 days 00:00:32.014000,0 days 00:00:23.891000,1,True,80.215
3.0,1.0,SOFT,3.0,0 days 00:01:20.243000,0 days 00:00:23.900000,0 days 00:00:32.182000,0 days 00:00:24.161000,1,True,80.243
4.0,1.0,SOFT,4.0,0 days 00:01:20.702000,0 days 00:00:24.100000,0 days 00:00:32.487000,0 days 00:00:24.115000,1,True,80.702
5.0,1.0,SOFT,5.0,0 days 00:01:21.134000,0 days 00:00:24.079000,0 days 00:00:32.638000,0 days 00:00:24.417000,1,True,81.134
6.0,1.0,SOFT,6.0,0 days 00:01:21.056000,0 days 00:00:23.922000,0 days 00:00:32.657000,0 days 00:00:24.477000,1,True,81.056
7.0,1.0,SOFT,7.0,0 days 00:01:21.293000,0 days 00:00:23.932000,0 days 00:00:32.784000,0 days 00:00:24.577000,1,True,81.293
8.0,1.0,SOFT,8.0,0 days 00:01:21.443000,0 days 00:00:24.019000,0 days 00:00:32.822000,0 days 00:00:24.602000,1,True,81.443
9.0,1.0,SOFT,9.0,0 days 00:01:21.143000,0 days 00:00:23.901000,0 days 00:00:32.724000,0 days 00:00:24.518000,1,True,81.143
10.0,1.0,SOFT,10.0,0 days 00:01:21.223000,0 days 00:00:23.826000,0 days 00:00:32.713000,0 days 00:00:24.684000,1,True,81.223
11.0,1.0,SOFT,11.0,0 days 00:01:21.285000,0 days 00:00:23.853000,0 days 00:00:32.836000,0 days 00:00:24.596000,1,True,81.285
12.0,1.0,SOFT,12.0,0 days 00:01:21.354000,0 days 00:00:23.749000,0 days 00:00:33.038000,0 days 00:00:24.567000,1,True,81.354
13.0,1.0,SOFT,13.0,0 days 00:01:21.432000,0 days 00:00:23.800000,0 days 00:00:33.061000,0 days 00:00:24.571000,1,True,81.432
14.0,1.0,SOFT,14.0,0 days 00:01:21.660000,0 days 00:00:24.066000,0 days 00:00:32.997000,0 days 00:00:24.597000,1,True,81.66
15.0,1.0,SOFT,15.0,0 days 00:01:21.541000,0 days 00:00:24.035000,0 days 00:00:33.019000,0 days 00:00:24.487000,1,True,81.541
16.0,1.0,SOFT,16.0,0 days 00:01:20.471000,0 days 00:00:23.589000,0 days 00:00:32.473000,0 days 00:00:24.409000,1,True,80.471
17.0,1.0,SOFT,17.0,0 days 00:01:20.908000,0 days 00:00:23.962000,0 days 00:00:32.525000,0 days 00:00:24.421000,1,True,80.908
18.0,1.0,SOFT,18.0,0 days 00:01:20.447000,0 days 00:00:23.761000,0 days 00:00:32.426000,0 days 00:00:24.260000,1,True,80.447
19.0,1.0,SOFT,19.0,0 days 00:01:20.635000,0 days 00:00:23.817000,0 days 00:00:32.503000,0 days 00:00:24.315000,1,True,80.635
20.0,1.0,SOFT,20.0,0 days 00:01:20.816000,0 days 00:00:23.910000,0 days 00:00:32.500000,0 days 00:00:24.406000,1,True,80.816
21.0,1.0,SOFT,21.0,0 days 00:01:20.907000,0 days 00:00:23.785000,0 days 00:00:32.582000,0 days 00:00:24.540000,1,True,80.907
22.0,1.0,SOFT,22.0,0 days 00:01:20.928000,0 days 00:00:23.695000,0 days 00:00:32.707000,0 days 00:00:24.526000,1,True,80.928
25.0,2.0,MEDIUM,2.0,0 days 00:01:18.503000,0 days 00:00:23.639000,0 days 00:00:31.468000,0 days 00:00:23.396000,1,True,78.503
26.0,2.0,MEDIUM,3.0,0 days 00:01:19.856000,0 days 00:00:23.575000,0 days 00:00:32.235000,0 days 00:00:24.046000,1,True,79.856
27.0,2.0,MEDIUM,4.0,0 days 00:01:19.317000,0 days 00:00:23.187000,0 days 00:00:32.184000,0 days 00:00:23.946000,1,True,79.317
28.0,2.0,MEDIUM,5.0,0 days 00:01:19.835000,0 days 00:00:23.706000,0 days 00:00:32.040000,0 days 00:00:24.089000,1,True,79.835
29.0,2.0,MEDIUM,6.0,0 days 00:01:19.720000,0 days 00:00:23.623000,0 days 00:00:32.040000,0 days 00:00:24.057000,1,True,79.72
30.0,2.0,MEDIUM,7.0,0 days 00:01:19.389000,0 days 00:00:23.345000,0 days 00:00:32.137000,0 days 00:00:23.907000,1,True,79.389
31.0,2.0,MEDIUM,8.0,0 days 00:01:20.145000,0 days 00:00:23.453000,0 days 00:00:32.544000,0 days 00:00:24.148000,1,True,80.145
32.0,2.0,MEDIUM,9.0,0 days 00:01:19.868000,0 days 00:00:23.424000,0 days 00:00:32.334000,0 days 00:00:24.110000,1,True,79.868
33.0,2.0,MEDIUM,10.0,0 days 00:01:20.090000,0 days 00:00:23.687000,0 days 00:00:32.334000,0 days 00:00:24.069000,1,True,80.09
34.0,2.0,MEDIUM,11.0,0 days 00:01:19.855000,0 days 00:00:23.398000,0 days 00:00:32.415000,0 days 00:00:24.042000,1,True,79.855
35.0,2.0,MEDIUM,12.0,0 days 00:01:20.478000,0 days 00:00:23.403000,0 days 00:00:33.064000,0 days 00:00:24.011000,1,True,80.478
36.0,2.0,MEDIUM,13.0,0 days 00:01:19.447000,0 days 00:00:23.570000,0 days 00:00:32.069000,0 days 00:00:23.808000,1,True,79.447
37.0,2.0,MEDIUM,14.0,0 days 00:01:19.225000,0 days 00:00:23.544000,0 days 00:00:31.916000,0 days 00:00:23.765000,1,True,79.225
38.0,2.0,MEDIUM,15.0,0 days 00:01:19.307000,0 days 00:00:23.373000,0 days 00:00:31.974000,0 days 00:00:23.960000,1,True,79.307
39.0,2.0,MEDIUM,16.0,0 days 00:01:19.215000,0 days 00:00:23.303000,0 days 00:00:31.976000,0 days 00:00:23.936000,1,True,79.215
40.0,2.0,MEDIUM,17.0,0 days 00:01:19.745000,0 days 00:00:23.413000,0 days 00:00:32.253000,0 days 00:00:24.079000,1,True,79.745
41.0,2.0,MEDIUM,18.0,0 days 00:01:18.911000,0 days 00:00:23.053000,0 days 00:00:31.906000,0 days 00:00:23.952000,1,True,78.911
